Brand_name,Price,Discount_item_clean,Discounted_Price_clean,Ratings_clean,Shades_clean
Charlotte Tilbury,,,3450,4719.0,19.0
Nykaa Matte,675.0,35.0,439,77832.0,24.0
M.A.C MACximal,,,2550,10431.0,27.0
Maybelline New,849.0,37.0,535,38113.0,16.0
Lakme Xtraordin,990.0,30.0,693,9752.0,23.0
Mars Won't,279.0,7.0,259,20046.0,24.0
SUGAR Glide,499.0,10.0,449,86.0,7.0
FENTY BEAUTY,,,2550,160.0,6.0
Kay Beauty,,,999,3844.0,16.0
,750.0,25.0,563,341.0,11.0
Lakme Forever,375.0,15.0,319,43347.0,38.0
Nykaa Cosmetics,329.0,35.0,214,173867.0,35.0
Swiss Beauty,69.0,5.0,66,139179.0,15.0
Lakme Forever,429.0,20.0,343,124751.0,50.0
Kay Beauty,999.0,25.0,749,13574.0,24.0
Nykaa All,399.0,35.0,259,53410.0,18.0
Maybelline New,699.0,35.0,454,111828.0,20.0
LOreal Paris,999.0,25.0,749,6625.0,14.0
Ronzille Natural,299.0,10.0,269,4.0,3.0
MARS Edge,,,69,41108.0,20.0
Maybelline New,429.0,40.0,257,99013.0,17.0
ETUDE HOUSE,450.0,10.0,405,13493.0,7.0
Lakme Double,775.0,25.0,581,52698.0,10.0
RENEE Cover,750.0,8.0,689,343.0,2.0
,650.0,30.0,455,70829.0,40.0
Maybelline Color,329.0,25.0,247,157461.0,21.0
Praush Plush,650.0,8.0,598,8070.0,8.0
MARS Candylicious,249.0,4.0,239,4040.0,12.0
Kay Beauty,999.0,25.0,749,13574.0,24.0
FAE Beauty,650.0,15.0,553,7411.0,24.0
Colors Queen,299.0,34.0,197,920.0,25.0
Faces Canada,849.0,35.0,549,40441.0,29.0
SUGAR Matte,749.0,40.0,449,24020.0,15.0
Maybelline New,749.0,10.0,674,2812.0,10.0
Pilgrim Matte,595.0,22.0,464,267.0,20.0
Swiss Beauty,229.0,20.0,183,48481.0,30.0
inde wild,,,799,761.0,3.0
MARS Creamy,199.0,2.0,195,24839.0,24.0
Insight Cosmetics,,,210,6935.0,12.0
Nykaa Cosmetics,799.0,35.0,519,18473.0,8.0
Nykaa Cosmetics,,,599,81.0,2.0
Love Earth,1999.0,65.0,699,14427.0,2.0
Estee Lauder,3000.0,25.0,2250,70.0,2.0
ETUDE HOUSE,950.0,20.0,760,8820.0,15.0
Maybelline New,599.0,40.0,359,31457.0,13.0
MARS Matte,447.0,11.0,398,15164.0,6.0
Mamaearth Moisture,599.0,10.0,539,26655.0,15.0
Kay Beauty,1200.0,20.0,960,4825.0,12.0
Maybelline New,799.0,30.0,559,14371.0,10.0
MARS Drip,299.0,3.0,290,456.0,8.0
Mamaearth Creamy,399.0,10.0,359,2549.0,13.0
,,,890,4790.0,19.0
Nykaa Superlight,799.0,25.0,599,94.0,10.0
Lakme Forever,375.0,15.0,319,43347.0,38.0
LoveChild Masaba,600.0,15.0,510,2532.0,12.0
,499.0,18.0,409,507.0,6.0
Swiss Beauty,299.0,20.0,239,32142.0,24.0
Nykaa Matte,849.0,35.0,552,14459.0,12.0
Bobbi Brown,,,2700,3624.0,16.0
Earth Rhythm,499.0,25.0,374,24368.0,3.0
SUGAR Matte,899.0,7.0,836,19500.0,19.0
Kay Beauty,649.0,20.0,519,11890.0,11.0
Mamaearth Moisture,599.0,10.0,539,26655.0,15.0
Nykaa Lips,399.0,40.0,239,25339.0,16.0
Love Earth,897.0,55.0,403,11526.0,18.0
Nykaa Cosmetics,450.0,50.0,225,40839.0,21.0
Maybelline New,799.0,10.0,719,20911.0,7.0
Insight Cosmetics,,,295,20583.0,24.0
Maybelline New,,,849,59.0,6.0
,160.0,15.0,136,59953.0,25.0
Mamaearth Creamy,399.0,10.0,359,2549.0,13.0
Swiss Beauty,349.0,12.0,307,320.0,12.0
Clinique Almost,,,2300,2093.0,
MARS Plush,199.0,2.0,195,4292.0,24.0
,999.0,15.0,849,942.0,10.0
,110.0,5.0,105,71118.0,24.0
Insight Cosmetics,,,100,58866.0,12.0
Nykaa Ultra,649.0,40.0,389,15596.0,15.0
,799.0,10.0,719,267.0,10.0
e.l.f. Cosmetics,,,390,26356.0,8.0
M.A.C Retro,,,2800,4409.0,8.0
